X1,X2,"f(X1, X2)",Type
"0,07660148728","1,283547628",1,AZUL
"0,0448583445","1,101086436",1,AZUL
"-0,06229131231","1,534512403",1,AZUL
"-0,2722167487","1,485656884",1,AZUL
"0,2374512372","1,626285735",1,AZUL
"-0,2062199977","1,477473096",1,AZUL
"0,1053520094","1,544863818",1,AZUL
"0,1119249413","1,5994836",1,AZUL
"0,2116693025","1,86810611",1,AZUL
"0,1692834473","1,667646004",1,AZUL
"0,2754257794","2,169708588",1,AZUL
"-0,001287925439","2,018479839",1,AZUL
"0,4440167362","1,970966868",1,AZUL
"0,09965556883","2,535858213",1,AZUL
"-0,05106529429","2,681841338",1,AZUL
"0,4020794703","2,768292526",1,AZUL
"0,459114227","2,555833382",1,AZUL
"0,7402327259","3,054285318",1,AZUL
"0,8237770763","3,081656722",1,AZUL
"0,8459094105","3,229251957",1,AZUL
"0,69357872","3,105283108",1,AZUL
"1,442094479","2,944901846",1,AZUL
"1,125191156","3,501445688",1,AZUL
"1,730200924","3,29177125",1,AZUL
"1,376205352","3,379833857",1,AZUL
"1,620138576","3,399855031",1,AZUL
"1,883312985","3,568810408",1,AZUL
"1,806554559","3,576393961",1,AZUL
"1,956302153","3,551572674",1,AZUL
"2,478527136","4,038562787",1,AZUL
"2,397253054","3,600159895",1,AZUL
"2,36938894","3,511124575",1,AZUL
"2,887775931","3,280543211",1,AZUL
"3,196724422","3,226837766",1,AZUL
"3,089796014","3,201589814",1,AZUL
"3,434057966","3,483424551",1,AZUL
"3,43656883","3,300750488",1,AZUL
"3,91025413","3,430529084",1,AZUL
"4,083860479","2,986935754",1,AZUL
"4,064457957","2,623715186",1,AZUL
"4,092157561","2,933128645",1,AZUL
"4,257570423","2,390125128",1,AZUL
"4,267671619","2,365464262",1,AZUL
"4,467177536","2,051768526",1,AZUL
"4,527999766","2,097247904",1,AZUL
"4,399436039","2,113467303",1,AZUL
"4,615666248","1,836214779",1,AZUL
"4,932685173","1,825393416",1,AZUL
"4,948339867","1,577574257",1,AZUL
"4,666235047","1,313096281",1,AZUL
"5,140482074","1,15131492",1,AZUL
"4,515103051","0,6921299876",1,AZUL
"4,832650338","0,8855339077",1,AZUL
"4,77099237","0,9221910323",1,AZUL
"4,79005343","0,2938645693",1,AZUL
"4,626305191","0,2947948985",1,AZUL
"4,553983198","0,2188000485",1,AZUL
"4,29670853","-0,0687977873",1,AZUL
"4,315551473","-0,04386015933",1,AZUL
"4,38620368","-0,3781294115",1,AZUL
"3,929344306","-0,5020273925",1,AZUL
"3,881549887","-0,8630370655",1,AZUL
"3,631977748","-0,7686465997",1,AZUL
"3,65280122","-1,175654365",1,AZUL
"3,588297732","-1,592577337",1,AZUL
"3,354735711","-1,821301178",1,AZUL
"2,990144435","-1,799113877",1,AZUL
"3,253740333","-1,766352058",1,AZUL
"3,023595776","-2,337854845",1,AZUL
"2,493900077","-1,904127532",1,AZUL
"2,433987004","-2,135743151",1,AZUL
"2,460616289","-2,345146663",1,AZUL
"1,949553176","-2,751634515",1,AZUL
"2,112021966","-2,520228498",1,AZUL
"1,759391583","-2,775682564",1,AZUL
"1,387058783","-3,236868997",1,AZUL
"1,712813655","-3,369971103",1,AZUL
"1,564135342","-3,125638486",1,AZUL
"1,524500135","-3,148298153",1,AZUL
"0,7429347645","-3,315418971",1,AZUL
"0,3434393315","-3,248029439",1,AZUL
"1,349585046","-3,431424133",1,AZUL
"0,8542499123","-3,706779784",1,AZUL
"0,4827198009","-3,995139062",1,AZUL
"0,4453897425","-4,032433747",1,AZUL
"0,5344632441","-4,189198127",1,AZUL
"0,2468957693","-4,23012103",1,AZUL
"0,2517306189","-4,748530667",1,AZUL
"0,3494228853","-4,853820473",1,AZUL
"0,3708521149","-4,531518472",1,AZUL
"0,3928959533","-4,880183527",1,AZUL
"-0,4168465565","-5,156368266",1,AZUL
"0,5373913516","-4,797898636",1,AZUL
"-0,09244969095","-4,794801081",1,AZUL
"-0,2513209779","-5,003550672",1,AZUL
"0,1966746463","-5,149662668",1,AZUL
"-0,02338997246","-5,095454804",1,AZUL
"-0,09991803898","-5,02802789",1,AZUL
"-0,2582595369","-4,94089786",1,AZUL
"-0,02925218104","-4,664432855",1,AZUL
"0,3394923853","-4,844483572",-1,NARANJA
"-0,488462821","-5,190361206",-1,NARANJA
"-0,09353697273","-4,859486787",-1,NARANJA
"0,07475695612","-5,125158915",-1,NARANJA
"0,1607993742","-5,033936811",-1,NARANJA
"-0,4666267183","-4,852000562",-1,NARANJA
"0,1560984611","-5,143880682",-1,NARANJA
"-0,1099819191","-4,490464014",-1,NARANJA
"-0,007429246392","-4,839541455",-1,NARANJA
"-0,1040857992","-4,449250976",-1,NARANJA
"-0,173237321","-4,559779423",-1,NARANJA
"-0,3321602116","-4,748094046",-1,NARANJA
"-0,1194859741","-4,464857442",-1,NARANJA
"-0,6840521527","-4,518424719",-1,NARANJA
"-0,5690101001","-3,977830507",-1,NARANJA
"-0,4615893475","-4,477865637",-1,NARANJA
"-0,5910633523","-3,628367301",-1,NARANJA
"-0,3992859176","-4,15455156",-1,NARANJA
"-1,081054905","-3,63837086",-1,NARANJA
"-0,7732607134","-3,598923809",-1,NARANJA
"-0,9663299484","-3,504862685",-1,NARANJA
"-1,672743115","-3,440916248",-1,NARANJA
"-1,229821079","-2,977516033",-1,NARANJA
"-1,508211655","-3,080673748",-1,NARANJA
"-1,746461068","-2,927901532",-1,NARANJA
"-1,926049285","-2,614695226",-1,NARANJA
"-1,796358161","-2,781985492",-1,NARANJA
"-1,915560898","-2,677951283",-1,NARANJA
"-2,53068935","-1,889952911",-1,NARANJA
"-2,393837513","-2,256368724",-1,NARANJA
"-2,504834755","-2,317526318",-1,NARANJA
"-2,733804316","-1,858676313",-1,NARANJA
"-3,034898908","-1,804619386",-1,NARANJA
"-2,990553765","-1,621799098",-1,NARANJA
"-3,551519683","-1,267970907",-1,NARANJA
"-3,606645618","-1,333603746",-1,NARANJA
"-3,764682593","-1,035252011",-1,NARANJA
"-3,498538508","-0,9409835655",-1,NARANJA
"-3,985131501","-0,7268801985",-1,NARANJA
"-3,661353863","-0,2855585092",-1,NARANJA
"-3,79089455","-0,5302558455",-1,NARANJA
"-4,557627088","-0,4301923083",-1,NARANJA
"-4,657173314","0,1256584874",-1,NARANJA
"-4,482987284","-0,1108777666",-1,NARANJA
"-4,511393734","0,5321131107",-1,NARANJA
"-4,377674368","0,5620343471",-1,NARANJA
"-4,886500979","0,4266347726",-1,NARANJA
"-4,857172351","0,6980191465",-1,NARANJA
"-5,119862434","1,292991138",-1,NARANJA
"-5,093913099","0,9961839631",-1,NARANJA
"-5,135395173","1,230143613",-1,NARANJA
"-4,838690339","1,266954806",-1,NARANJA
"-4,516377382","1,609798482",-1,NARANJA
"-4,543174379","1,810665748",-1,NARANJA
"-4,803269839","2,287745515",-1,NARANJA
"-4,309264279","1,995801172",-1,NARANJA
"-4,551775556","2,926672998",-1,NARANJA
"-4,259630692","2,306575924",-1,NARANJA
